CVE_CUENTA,CVE_PERIODO,CVE_ESTADO,CVE_MUNICIPIO,CVE_INSTITUCION,CUENTAS_NOMINA,CUENTAS_TOTALES,CUENTAS_MA,CUNETAS_NIVEL1,CUENTAS_NIVEL2,CUENTAS_NIVEL3,CUENTAS_NIVEL4,CUENTAS_AHORRO,CUENTAS_PLAZOFIJO,,,,,,,,
"1,000,166",202005,4,4001,40012,3625,7014,3389,0,1845,2,5167,0,7,,,,,,,,
"1,000,167",202005,4,4001,40127,95,3091,2996,0,0,0,3091,0,9,,,,,,,,
"1,000,168",202005,4,4001,40130,0,239,239,0,11,0,228,0,10,,,,,,,,
"1,000,169",202005,4,4001,40137,33,2765,2732,0,0,0,2765,0,59,,,,,,,,
"1,000,170",202005,4,4001,40150,0,0,0,0,0,0,0,0,1,,,,,,,,
"1,000,171",202005,4,4002,40002,25463,75185,49722,0,37094,0,38091,0,877,,,,,,,,
"1,000,172",202005,4,4002,40012,29982,57159,27177,0,10832,6,46321,0,53,,,,,,,,
"1,000,173",202005,4,4002,40014,31281,53484,22203,0,1311,158,52015,4,2404,,,,,,,,
"1,000,174",202005,4,4002,40021,14477,26496,12019,0,0,0,26496,0,864,,,,,,,,
"1,000,175",202005,4,4002,40036,115,2202,2087,0,14,0,2188,0,80,,,,,,,,
"1,000,176",202005,4,4002,40044,821,11961,11140,0,8503,0,3458,0,202,,,,,,,,
"1,000,177",202005,4,4002,40062,3547,3570,23,0,0,0,3570,0,0,,,,,,,,
"1,000,178",202005,4,4002,40072,19218,26358,7140,0,2674,504,23180,0,1203,,,,,,,,
"1,000,179",202005,4,4002,40127,504,17679,17175,1,1,0,17677,0,48,,,,,,,,
"1,000,180",202005,4,4002,40130,0,2506,2506,0,67,0,2439,0,174,,,,,,,,
"1,000,181",202005,4,4002,40137,695,21529,20834,0,0,0,21529,0,62,,,,,,,,
"1,000,182",202005,4,4002,40143,0,51,51,0,0,0,51,0,1,,,,,,,,
"1,000,183",202005,4,4002,40150,0,2,2,0,0,0,2,0,0,,,,,,,,
"1,000,184",202005,4,4002,40151,0,1019,1019,0,0,0,1019,0,27,,,,,,,,
"1,000,185",202005,4,4003,40002,18313,62523,44210,0,25252,0,37271,0,510,,,,,,,,
"1,000,186",202005,4,4003,40012,26127,53706,27579,0,5106,1,48599,0,69,,,,,,,,
"1,000,187",202005,4,4003,40014,12483,21846,9363,0,297,25,21524,5,829,,,,,,,,
"1,000,188",202005,4,4003,40021,23472,36752,13280,0,0,0,36752,0,342,,,,,,,,
"1,000,189",202005,4,4003,40036,108,1205,1097,0,9,0,1196,0,42,,,,,,,,
"1,000,190",202005,4,4003,40044,2913,5405,2492,0,1,0,5404,0,79,,,,,,,,
"1,000,191",202005,4,4003,40072,11684,16784,5100,0,2287,309,14188,0,258,,,,,,,,
"1,000,192",202005,4,4003,40127,749,15507,14758,0,0,0,15507,0,30,,,,,,,,
"1,000,193",202005,4,4003,40130,0,3243,3243,0,169,0,3074,0,197,,,,,,,,
"1,000,194",202005,4,4003,40131,0,814,814,0,0,0,814,0,33,,,,,,,,
"1,000,195",202005,4,4003,40136,0,581,581,0,0,0,581,0,6,,,,,,,,
"1,000,196",202005,4,4003,40137,499,26115,25616,0,0,0,26115,0,175,,,,,,,,
"1,000,197",202005,4,4003,40143,0,136,136,0,0,0,136,0,25,,,,,,,,
"1,000,198",202005,4,4003,40150,0,1,1,0,0,0,1,0,4,,,,,,,,
"1,000,199",202005,4,4003,40151,0,155,155,0,0,0,155,0,2,,,,,,,,
"1,000,200",202005,4,4004,40002,3065,12509,9444,0,6401,0,6108,0,156,,,,,,,,
"1,000,201",202005,4,4004,40012,2134,4562,2428,0,836,1,3725,0,15,,,,,,,,
"1,000,202",202005,4,4004,40021,1871,5932,4061,0,0,0,5932,0,296,,,,,,,,
"1,000,203",202005,4,4004,40127,143,5736,5593,0,0,0,5736,0,18,,,,,,,,
"1,000,204",202005,4,4004,40130,0,110,110,0,2,0,108,0,11,,,,,,,,
"1,000,205",202005,4,4004,40137,140,7418,7278,0,0,0,7418,0,8,,,,,,,,
"1,000,206",202005,4,4004,40151,0,170,170,0,0,0,170,0,4,,,,,,,,
"1,000,207",202005,4,4005,40002,0,1230,1230,0,1230,0,0,0,0,,,,,,,,
"1,000,208",202005,4,4005,40127,51,2188,2137,1,0,0,2187,0,5,,,,,,,,
"1,000,209",202005,4,4006,40002,0,320,320,0,320,0,0,0,0,,,,,,,,
"1,000,210",202005,4,4006,40012,1836,6084,4248,0,1225,5,4854,0,7,,,,,,,,
"1,000,211",202005,4,4006,40127,0,105,105,0,0,0,105,0,0,,,,,,,,
"1,000,212",202005,4,4007,40002,0,162,162,0,162,0,0,0,0,,,,,,,,
"1,000,213",202005,4,4007,40012,1397,3617,2220,0,414,0,3203,0,2,,,,,,,,
"1,000,214",202005,4,4007,40127,0,10,10,0,0,0,10,0,0,,,,,,,,
"1,000,215",202005,4,4008,40002,0,576,576,0,576,0,0,0,0,,,,,,,,
"1,000,216",202005,4,4009,40002,2732,8855,6123,0,1198,0,7657,0,111,,,,,,,,
"1,000,217",202005,4,4009,40012,3167,9085,5918,0,2451,5,6629,0,11,,,,,,,,
"1,000,218",202005,4,4009,40127,265,7406,7141,0,0,0,7406,0,11,,,,,,,,
"1,000,219",202005,4,4009,40130,0,213,213,0,0,0,213,0,34,,,,,,,,
"1,000,220",202005,4,4009,40137,142,12396,12254,0,0,0,12396,0,11,,,,,,,,
"1,000,221",202005,4,4009,40151,0,201,201,0,0,0,201,0,1,,,,,,,,
"1,000,222",202005,4,4010,40002,0,282,282,0,282,0,0,0,0,,,,,,,,
"1,000,223",202005,4,4010,40127,114,3229,3115,0,0,0,3229,0,15,,,,,,,,
"1,000,224",202005,4,4011,40002,0,481,481,0,481,0,0,0,0,,,,,,,,
"1,000,225",202005,4,4011,40127,80,3853,3773,0,0,0,3853,0,7,,,,,,,,
"1,000,226",202005,5,5001,40002,0,52,52,0,52,0,0,0,0,,,,,,,,
"1,000,227",202005,5,5002,40002,7941,21324,13383,0,10586,0,10738,0,158,,,,,,,,
"1,000,228",202005,5,5002,40012,8567,14895,6328,1,2936,0,11958,0,10,,,,,,,,
"1,000,229",202005,5,5002,40014,5190,7965,2775,0,41,35,7889,0,332,,,,,,,,
"1,000,230",202005,5,5002,40021,14723,18114,3391,0,0,0,18114,0,149,,,,,,,,
"1,000,231",202005,5,5002,40036,43,487,444,0,4,0,483,0,3,,,,,,,,
"1,000,232",202005,5,5002,40044,5773,7778,2005,0,23,0,7755,0,158,,,,,,,,
"1,000,233",202005,5,5002,40072,28684,32468,3784,0,7699,523,24246,0,374,,,,,,,,
"1,000,234",202005,5,5002,40127,234,6169,5935,0,0,0,6169,0,18,,,,,,,,
"1,000,235",202005,5,5002,40130,0,1783,1783,0,17,0,1766,0,32,,,,,,,,
"1,000,236",202005,5,5002,40131,0,897,897,0,0,0,897,0,47,,,,,,,,
"1,000,237",202005,5,5002,40137,191,8518,8327,0,0,0,8518,0,27,,,,,,,,
"1,000,238",202005,5,5003,40002,0,980,980,0,980,0,0,0,0,,,,,,,,
"1,000,239",202005,5,5003,40012,4313,7625,3312,0,938,0,6687,0,16,,,,,,,,
"1,000,240",202005,5,5003,40014,3939,5797,1858,0,7,177,5613,1,447,,,,,,,,
"1,000,241",202005,5,5003,40072,1014,2978,1964,0,386,23,2569,0,464,,,,,,,,
"1,000,242",202005,5,5003,40127,27,1473,1446,0,0,0,1473,0,11,,,,,,,,
"1,000,243",202005,5,5003,40131,0,233,233,0,0,0,233,0,12,,,,,,,,
"1,000,244",202005,5,5004,40002,0,925,925,0,925,0,0,0,0,,,,,,,,
"1,000,245",202005,5,5004,40127,0,160,160,0,0,0,160,0,0,,,,,,,,
"1,000,246",202005,5,5004,40150,0,0,0,0,0,0,0,0,1,,,,,,,,
"1,000,247",202005,5,5005,40002,0,83,83,0,83,0,0,0,0,,,,,,,,
"1,000,248",202005,5,5006,40002,0,1937,1937,0,1937,0,0,0,0,,,,,,,,
"1,000,249",202005,5,5006,40062,967,1171,204,0,0,0,1171,0,29,,,,,,,,
"1,000,250",202005,5,5006,40127,109,1716,1607,0,0,0,1716,0,1,,,,,,,,
"1,000,251",202005,5,5007,40002,0,839,839,0,839,0,0,0,0,,,,,,,,
"1,000,252",202005,5,5007,40014,1428,3723,2295,0,0,1,3722,0,411,,,,,,,,
"1,000,253",202005,5,5008,40002,0,164,164,0,164,0,0,0,0,,,,,,,,
"1,000,254",202005,5,5009,40002,0,4287,4287,0,4287,0,0,0,0,,,,,,,,
"1,000,255",202005,5,5009,40021,2107,5119,3012,0,0,0,5119,0,137,,,,,,,,
"1,000,256",202005,5,5009,40127,122,4986,4864,1,0,0,4985,0,48,,,,,,,,
"1,000,257",202005,5,5009,40130,0,1165,1165,0,163,0,1002,0,93,,,,,,,,
"1,000,258",202005,5,5009,40131,0,2135,2135,0,0,0,2135,0,122,,,,,,,,
"1,000,259",202005,5,5009,40137,64,3527,3463,0,0,0,3527,0,0,,,,,,,,
"1,000,260",202005,5,5010,40002,0,5863,5863,0,5863,0,0,0,0,,,,,,,,
"1,000,261",202005,5,5010,40012,5815,9560,3745,0,1046,1,8513,0,8,,,,,,,,
"1,000,262",202005,5,5010,40014,5297,9018,3721,0,17,0,9001,0,870,,,,,,,,
"1,000,263",202005,5,5010,40021,6547,8968,2421,0,0,0,8968,0,99,,,,,,,,
"1,000,264",202005,5,5010,40036,0,81,81,0,0,0,81,0,1,,,,,,,,
"1,000,265",202005,5,5010,40127,127,3254,3127,0,0,0,3254,0,41,,,,,,,,
"1,000,266",202005,5,5010,40130,0,47,47,0,0,0,47,0,0,,,,,,,,
"1,000,267",202005,5,5010,40137,117,3798,3681,0,0,0,3798,0,2,,,,,,,,
"1,000,268",202005,5,5011,40002,0,339,339,0,339,0,0,0,0,,,,,,,,
"1,000,269",202005,5,5012,40002,0,85,85,0,85,0,0,0,0,,,,,,,,
"1,000,270",202005,5,5013,40002,0,51,51,0,51,0,0,0,0,,,,,,,,
"1,000,271",202005,5,5014,40002,0,258,258,0,258,0,0,0,0,,,,,,,,
