ID_CAPTACION,CVE_PERIODO,CVE_ESTADO,CVE_MUNICIPIO,CVE_INSTITUCION,SALDO_NOMINA,SALDO_TRANS_TOTAL,SALDO_TRANS_MA,SALDO_TRANS_N1,SALDO_TRANS_N2,SALDO_TRANS_N3,SALDO_TRANS_N4,SALDO_AHORRO,SALDO_PLAZO_FIJO
2000511,202005,5,5010,40130,0,392514,392514,0,0,0,392514,0,0
2000512,202005,5,5010,40137,166331,32327562,32161231,0,0,0,32327562,0,278412
2000518,202005,5,5011,40002,0,73706,73706,0,73706,0,0,0,0
2000522,202005,5,5012,40002,0,20340,20340,0,20340,0,0,0,0
2000526,202005,5,5013,40002,0,29661,29661,0,29661,0,0,0,0
2000530,202005,5,5014,40002,0,67886,67886,0,67886,0,0,0,0
2000531,202005,5,5014,40150,0,7316,7316,0,0,0,7316,0,3687638
2000537,202005,5,5015,40002,0,45700,45700,0,45700,0,0,0,0
2000538,202005,5,5015,40012,0,0,0,0,0,0,0,0,998857030
2000539,202005,5,5015,40127,0,93059,93059,0,0,0,93059,0,0
2000545,202005,5,5016,40002,0,90906,90906,0,90906,0,0,0,0
2000549,202005,5,5017,40002,56105,1872852,1816747,0,1825451,0,47401,0,0
2000550,202005,5,5017,40012,111645845,239231175,127585330,0,5617854,0,233613321,0,3519915
2000551,202005,5,5017,40127,97209,91996098,91898889,1161,0,0,91994937,0,9438125
2000552,202005,5,5017,40130,0,2590063,2590063,0,14826,0,2575237,0,1684371
2000553,202005,5,5017,40137,358724,55200346,54841622,0,0,0,55200346,0,260370
2000554,202005,5,5017,40150,0,0,0,0,0,0,0,0,918352
2000562,202005,5,5018,40002,93945859,494829087,400883228,0,7931547,0,486897540,0,143482951
2000563,202005,5,5018,40012,648156658,1773711914,1125555256,0,11783106,5309,1761923499,0,473615740
2000564,202005,5,5018,40014,201990618,970092351,768101733,0,709983,96636,969285732,0,367337081
2000565,202005,5,5018,40021,22609382,279141443,256532061,0,0,0,279141443,0,266871284
2000566,202005,5,5018,40036,1740677,603320868,601580191,0,553,0,603320315,0,59911427
2000567,202005,5,5018,40044,64899190,501211519,436312329,0,108612,0,501102907,0,585143332
2000568,202005,5,5018,40062,317565397,612536061,294970664,0,0,0,612536061,0,654132303
2000569,202005,5,5018,40072,96761880,1006676326,909914446,0,7038363,4629553,995008410,0,944435714
2000570,202005,5,5018,40127,449335,155420114,154970779,4249,0,0,155415865,0,5851879
2000571,202005,5,5018,40130,0,1448152,1448152,0,14465,0,1433687,0,161686
2000572,202005,5,5018,40131,0,22152529,22152529,0,0,0,22152529,0,109944203
2000573,202005,5,5018,40137,1230496,140500169,139269673,0,0,0,140500169,0,755193
2000574,202005,5,5018,40150,0,2550,2550,0,0,0,2550,0,2407052
2000584,202005,5,5019,40002,0,92468,92468,0,92468,0,0,0,0
2000585,202005,5,5019,40012,0,0,0,0,0,0,0,0,4772421277
2000586,202005,5,5019,40014,13379446,70095857,56716411,0,0,0,70095857,0,17807393
2000590,202005,5,5020,40002,0,1333650,1333650,0,1333650,0,0,0,0
2000591,202005,5,5020,40012,50067803,160110185,110042382,0,2470257,0,157639928,0,43469405
2000592,202005,5,5020,40014,49807342,111167915,61360573,0,10236,128695,111028984,0,77159372
2000593,202005,5,5020,40044,47003449,333455121,286451672,0,0,0,333455121,0,306638880
2000594,202005,5,5020,40127,14300,22140128,22125828,0,0,0,22140128,0,619355
2000595,202005,5,5020,40131,0,1439754,1439754,0,0,0,1439754,0,5957913
2000596,202005,5,5020,40137,60812,4242893,4182081,0,0,0,4242893,0,0
2000602,202005,5,5021,40002,0,85562,85562,0,85562,0,0,0,0
2000603,202005,5,5021,40012,0,0,0,0,0,0,0,0,191693337
2000607,202005,5,5022,40002,718915,1176304,457389,0,522760,0,653544,0,170
